,A00200,A00300,A00600,A00650,A00900,A02300,A03240,A01400,A03270,A03210,A07180
2,1.0575390638212436,0.5892197285241756,1.5602523422491736,1.7789093611850675,0.85357789488816,1.6107176524108995,4.877239765192391,0.9238743496424503,0.20207912548900392,1.4155085219346595,0.2563304462277766
1,0.8989402110292531,0.5962941964240129,1.5332815108881974,1.3691413432448516,0.8613248366331935,0.8674540511435358,2.0106367460722505,0.8024718617543123,0.13031081256143418,0.9956996885366106,0.28629727910013353
5,0.9174335705088943,0.7876174315108224,5.433575794395797,8.763233663371363,0.8085129054542253,0.8758400320000003,10.786012216846277,0.7438619984198152,0.14854531429957918,0.942095904709243,0.27553954385970486
4,0.8949561569409346,0.6639951252349411,1.534520380211762,1.371263533759979,0.8462785035171059,1.0622669729440626,5.320412321522536,1.2665310972822443,0.166332110558636,1.2740038714866897,0.19808728991245617
6,1.040081367184606,0.9296563015750083,1.9509059248882499,1.875666195559946,0.8955837650926854,1.1790895565921,2.513992949878889,0.8774959702392533,0.2299654903074562,1.0044040103681608,0.23627804920611054
8,0.9350892378100849,0.8168238253468584,1.419728253398657,1.353523622019834,0.9027836289283834,1.0205582150258636,8.302915086051405,0.9602565908564903,0.2447316108022749,1.7300421555513739,0.217071524030608
9,1.1022697813489435,1.2320811617632805,2.372927789304315,2.305701224064267,1.0776482670297256,0.8993796819819745,3.723714764903615,1.0384519818660363,0.2642724674914755,1.7105579751928999,0.22235932950720472
11,0.862054276485294,0.5156244303975839,1.6212717016998641,1.50993816224581,1.3141717293520592,0.44091017939206667,0.6189748281766233,0.7431899366772169,0.16556991179273114,1.966485890837106,0.19527751908412927
10,1.0255362784145228,0.5436930597097832,1.8592936144628047,1.93706973030298,0.9463044086634682,1.1392107944330798,14.668458226576501,1.126148908730284,0.13793362152583138,1.9265755655268404,0.2963727604545649
12,0.9258857627945358,1.383034856428101,3.5172071656760053,3.5418654072976152,0.9596838389639799,0.8032052306098176,14.765906702159558,1.252019734156856,0.18713668431127511,1.2007502552446019,0.29747043341521007
13,0.9352248628763531,0.56383372638742,1.8977515451817377,2.0566112675414217,0.8525637111163642,0.7524995739939723,8.616006280889668,0.783795133773448,0.14883092072079548,1.6061269810995107,0.31077034536047543
15,1.0685846868671065,0.6138967396738267,2.1262042824711176,2.0330990181452435,1.0308485731297918,0.8471873887993445,2.502464377644441,0.7419894240819064,0.19130934760632964,1.4194797438922355,0.2584842398321997
19,0.9222059167562083,0.6798711552122825,1.2255986110775827,1.2618243842492523,0.8681401324024135,0.8664577698817901,10.146634736463142,0.7393249015027347,0.2583714646192459,2.4223289681045572,0.2819307056682975
16,0.8726952432185778,0.7533409462108447,1.198705203043476,1.186046616278193,0.7106327056810259,1.0088529140866447,21.297870605392024,0.9112163941075464,0.23998711426618125,1.7400947756337997,0.23520553591152937
17,0.9808219839260206,0.8600359067556009,2.4587998037291117,2.333385645845203,0.8728525125885863,0.8031822577604643,14.339175450341955,0.5720046230283696,0.19925841641384187,1.668512054952971,0.2537135190625752
18,0.9941275349292257,0.4596446944381764,1.3534498094977445,1.7645006294229317,1.0142568125300255,0.8313610451028126,16.538986881821092,0.5895370877867262,0.1734342372741848,1.7570765694379125,0.21658094507201014
20,0.9837536677476978,0.7538780214706148,2.0759755842423453,2.2338214654646382,0.908148220996987,0.7169314138535523,14.976074748469197,0.6436733934948089,0.24212276847042508,1.3079505762926773,0.2486530192421022
