,cg_logit,ira_logit,irac_logit,sep_logit,sehi_logit,cdc_logit,medex_logit,sl_logit
agede,0.0,1.323106529828879,-0.3141364784178435,-0.3659559463045674,0.012021070909366143,-1.3923990085102675,0.9492874817592329,-1.614761015141102
constant,-4.869669983072398,-3.3611196475398417,-4.802095236456634,-10.344125950079558,-5.738533761924366,-3.2277877533833657,-2.7736914000900654,-2.3816669851798213
fam_size,-0.03601163719126215,-0.16062842424437293,-0.14408313072175816,0.03541990520890131,0.03303462935706353,0.9784235356330929,-0.04226405013628525,-0.025006146707551108
joint_filer,0.08258727586560635,0.5946466233460704,1.126025127496109,0.9266788671756984,1.0610379397700396,-1.1658541090789567,-0.09058551268445705,0.04572067599117038
lndivs,0.23264993816806756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne01500,0.02958297058022617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lninterest,-0.13656056159112695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lntot_inc,-0.0023066575962752034,0.07152558640359612,0.06777336603031288,0.5429016983405441,0.24283427565103893,-0.07169783637477396,-0.01948155058843921,-0.04210465894883561
