h_seq,snap_participation,snap_impute,probs
2,0,0.0,0.0136602773407
3,1,1589.81825813,0.468546565297
5,0,0.0,0.340303194327
6,0,0.0,0.0887926590732
8,0,0.0,0.120913124106
10,0,0.0,0.032276074432
11,1,1146.85362896,0.12456297318
13,1,8495.21206635,0.204128122909
14,0,0.0,0.830840679711
15,0,0.0,0.042464054593
21,2,2650.5061647,0.110020424214
22,0,0.0,0.0117145187338
24,0,0.0,0.0928851856338
28,0,0.0,0.420343876943
29,0,0.0,0.0172935411332
30,0,0.0,0.015611901514
36,0,0.0,0.0828459600445
41,0,0.0,0.0217164935227
42,0,0.0,0.0151709838817
43,1,2293.70725792,0.349772523634
44,1,2050.98691316,0.591806571258
45,0,0.0,0.100343142774
50,0,0.0,0.00320388614132
55,0,0.0,0.0506191248658
56,1,2293.70725792,0.0540951919937
57,1,7572.87475629,0.742595202389
58,0,0.0,0.123435831264
61,0,0.0,0.844836970256
62,0,0.0,0.0489001147714
64,0,0.0,0.0928732294741
73,0,0.0,0.0111058260168
74,0,0.0,0.0342196140152
75,0,0.0,0.0895618904303
77,1,2354.3873441,0.22445740114
78,1,3883.52551605,0.44913913301
79,1,9223.37310061,0.247999976364
82,0,0.0,0.0107560567954
86,0,0.0,0.00357008974712
91,1,505.667384902,0.658733015742
94,1,2196.61912001,0.689287386296
95,0,0.0,0.00380047867072
98,0,0.0,0.006284642414
99,1,230.584327515,0.715175728668
100,0,0.0,0.364273211835
104,1,505.667384902,0.605630722615
105,1,101.13347698,0.106423635269
108,0,0.0,0.0613804340634
109,0,0.0,0.0354382727245
112,0,0.0,0.0323390919367
114,2,2650.5061647,0.0962191801165
115,0,0.0,0.0613913945802
120,0,0.0,0.285228011071
121,0,0.0,0.0825821728264
122,0,0.0,0.0021222297408
123,0,0.0,0.0717102599734
124,1,4854.40689506,0.956373394164
127,0,0.0,0.0843820727165
130,0,0.0,0.0381209966466
131,0,0.0,0.00974153672929
133,0,0.0,0.0789581782773
135,2,2650.5061647,0.118875889231
158,0,0.0,0.0105021194809
159,1,4854.40689506,0.679312532353
161,0,0.0,0.00595614444068
162,0,0.0,0.0796607227591
163,1,1517.00215471,0.192115019596
166,0,0.0,0.218126324517
173,0,0.0,0.144710643435
175,0,0.0,0.00635682027275
177,0,0.0,0.0514748776152
179,1,202.266953961,0.0446942337303
180,0,0.0,0.00456411685773
181,1,3034.00430941,0.0332251260443
186,0,0.0,0.0134882142316
187,0,0.0,0.00594990708586
188,0,0.0,0.0115804163279
192,0,0.0,0.00288167293728
195,0,0.0,0.0475149888189
196,2,2650.5061647,0.442106985732
197,2,2650.5061647,0.0992135214575
198,0,0.0,0.295790673655
199,2,2650.5061647,0.16978550335
200,2,2650.5061647,0.165781032696
201,0,0.0,0.0354940491862
204,0,0.0,0.0150883964615
205,0,0.0,0.014918620818
207,0,0.0,0.0222014317459
209,0,0.0,0.00554626360478
211,1,2196.61912001,0.640470333504
212,0,0.0,0.0023081194859
218,0,0.0,0.00463807234757
219,0,0.0,0.0684981449978
223,0,0.0,0.00572076700082
224,0,0.0,0.00572899905859
226,0,0.0,0.210259491451
228,0,0.0,0.0477607610225
229,1,6068.00861882,0.24044259168
237,0,0.0,0.00364979606392
249,2,2650.5061647,0.153207359986
250,2,2650.5061647,0.112084172393
252,0,0.0,0.0210116744357
255,1,1146.85362896,0.165781032696
260,0,0.0,0.100355612766
261,0,0.0,0.0589492019448
262,1,303.400430941,0.579335409577
263,2,2650.5061647,0.160053059266
264,0,0.0,0.036471491702
265,1,2427.20344753,0.374068934986
266,1,546.120775694,0.731246303923
267,0,0.0,0.170761935293
279,0,0.0,0.0805515935536
280,0,0.0,0.0419604810292
288,0,0.0,0.0574165662942
289,0,0.0,0.0097007707985
290,1,3094.6843956,0.586778955737
296,0,0.0,0.0268331521543
298,0,0.0,0.0775809517466
299,2,2650.5061647,0.54373547777
301,0,0.0,0.0112396595119
302,0,0.0,0.00817650678756
303,0,0.0,0.002556547542
304,1,4150.51789528,0.0616092810556
305,1,10582.6070312,0.7309666195
308,0,0.0,0.0139363956904
309,1,6068.00861882,0.45399473384
310,1,485.440689506,0.570235369708
314,0,0.0,0.0019438035442
315,1,1844.67462012,0.491608658733
316,0,0.0,0.00874572216706
318,2,2650.5061647,0.41966669846
320,1,1419.9140168,0.480259214657
321,1,1492.73012023,0.482566307272
323,0,0.0,0.00320822823643
329,0,0.0,0.00308819723569
330,0,0.0,0.0479708613337
331,0,0.0,0.134853978665
332,0,0.0,0.039457147497
333,0,0.0,0.115803373742
335,0,0.0,0.00760664177023
336,0,0.0,0.0485517988708
338,0,0.0,0.144710643435
340,1,2002.44284421,0.496810106192
341,1,1529.13817194,0.484915585441
342,0,0.0,0.0416101493278
344,0,0.0,0.0198478955094
354,0,0.0,0.0164848925472
355,0,0.0,0.0317959018345
358,1,1201.46570653,0.909307718363
359,0,0.0,0.0116804042961
360,1,1941.76275802,0.0944391394782
362,0,0.0,0.0826534874366
363,0,0.0,0.0106223208435
366,2,2650.5061647,0.12456297318
367,1,910.201292824,0.399218195376
368,0,0.0,0.0352489631187
369,0,0.0,0.0498169961343
370,0,0.0,0.0191275200058
371,0,0.0,0.00741499584986
372,0,0.0,0.00197500495732
374,1,194.176275802,0.0447378171311
375,2,2650.5061647,0.165468164023
376,1,2900.5081198,0.486216625848
382,0,0.0,0.0217715796737
385,0,0.0,0.0891329349188
386,0,0.0,0.00607764618238
388,0,0.0,0.013346738641
390,0,0.0,0.00272959838684
392,0,0.0,0.00948869825888
393,2,2650.5061647,0.143352076898
394,0,0.0,0.00500078410625
395,1,2584.97167162,0.74738201004
396,2,2650.5061647,0.609816668903
399,0,0.0,0.00312942041481
400,0,0.0,0.0378760420482
402,0,0.0,0.0100305085962
403,0,0.0,0.0247312894018
405,0,0.0,0.00737113231591
411,0,0.0,0.020571623369
414,1,849.521206635,0.451141687315
415,1,1237.87375824,0.144767805077
416,1,2402.93141305,0.511470846274
417,1,2402.93141305,0.16169427043
420,0,0.0,0.0893811372415
421,1,868.736567262,0.60479018372
428,0,0.0,0.0144637352811
430,1,1213.60172376,0.295330639323
431,1,3640.80517129,0.945801753945
432,1,4077.70179185,0.792416974005
433,0,0.0,0.0969028693012
434,0,0.0,0.0154775615766
435,0,0.0,0.00601433586423
436,0,0.0,0.0135943730728
437,2,2650.5061647,0.12456297318
438,1,13.1473520075,0.727904962102
439,0,0.0,0.00576869347344
441,1,351.944499892,0.474484889628
442,1,230.584327515,0.945905829005
443,1,4211.19798146,0.426619886223
445,0,0.0,0.0168558668738
446,0,0.0,0.0148498166343
447,0,0.0,0.0192488121897
448,0,0.0,0.0299495722779
451,0,0.0,0.0434974156772
453,0,0.0,0.0100291825895
454,0,0.0,0.0169548087934
455,2,2650.5061647,0.108104017586
456,1,145.632206852,0.48047860267
460,1,4247.60603318,0.631045887967
462,0,0.0,0.00722542337842
469,0,0.0,0.0329354728598
470,0,0.0,0.0136695985642
473,0,0.0,0.00395044980406
488,0,0.0,0.0156292876537
490,0,0.0,0.0128225404101
491,1,2184.48310278,0.221405540305
493,1,7281.61034259,0.352644548999
494,0,0.0,0.00649204164177
495,2,2650.5061647,0.121240240992
496,0,0.0,0.0104337271893
497,1,4247.60603318,0.947475474892
498,1,910.201292824,0.192337755603
499,0,0.0,0.0401907042931
500,1,4854.40689506,0.869417174549
501,1,2402.93141305,0.652035542335
502,1,1031.5614652,0.123498105271
504,1,2063.1229304,0.407281930107
505,2,2650.5061647,0.443267150679
508,0,0.0,0.00309510198236
510,0,0.0,0.604866664932
514,0,0.0,0.0174670157409
515,2,2650.5061647,0.132159751407
517,0,0.0,0.0108975946258
518,1,1577.68224089,0.100197122322
519,0,0.0,0.0174191875042
520,2,2650.5061647,0.118955669146
521,1,6771.89761861,0.496814158617
522,0,0.0,0.00580790598621
523,2,2650.5061647,0.12456297318
526,0,0.0,0.00894051914882
528,0,0.0,0.0131270546385
529,0,0.0,0.24199994989
530,0,0.0,0.0683671556816
532,0,0.0,0.0414287904576
533,0,0.0,0.0270147336085
534,0,0.0,0.0353755816149
535,0,0.0,0.0162685132592
536,0,0.0,0.07136217841
537,0,0.0,0.373025990315
538,0,0.0,0.00648934509877
539,0,0.0,0.00410843165029
540,0,0.0,0.0144194602944
544,0,0.0,0.0688946604656
546,0,0.0,0.146699696076
547,0,0.0,0.144710643435
549,0,0.0,0.0445790187198
550,0,0.0,0.00260501120725
557,0,0.0,0.229839958613
559,2,2650.5061647,0.116768491595
560,0,0.0,0.809892507775
562,0,0.0,0.195840912813
567,1,2427.20344753,0.908869845952
571,0,0.0,0.409470115373
573,0,0.0,0.108744806584
574,2,2650.5061647,0.12456297318
575,1,2063.1229304,0.12456297318
577,1,3640.80517129,0.906727866592
578,1,6771.89761861,0.691907042981
579,1,4611.68655031,0.885953406175
580,0,0.0,0.122353644811
581,0,0.0,0.662017461933
583,2,2650.5061647,0.161717046849
585,0,0.0,0.0551330044978
589,0,0.0,0.00527428482749
591,0,0.0,0.00278791952397
593,0,0.0,0.00914662420134
595,0,0.0,0.0325684040144
598,2,2650.5061647,0.103865731894
600,0,0.0,0.019451867591
601,1,84.9521206635,0.188601231416
603,0,0.0,0.0903449305696
604,0,0.0,0.093823252704
605,0,0.0,0.0146382854812
608,0,0.0,0.0897826689368
609,0,0.0,0.0633415710385
610,2,2650.5061647,0.10223879454
612,1,2354.3873441,0.690590340541
