,cg_ols,ira_ols,irac_ols,sep_ols,sehi_ols,cdc_ols,medex_ols,sl_ols
agede,-0.08629417161233771,0.11614219745591628,0.02682414602976893,-0.06471223619806286,-0.16102138426676382,-0.12490783706825459,0.13269277192500756,-0.038040471702127154
constant,2.9284536395243057,8.304571920545055,6.973098087212273,8.174231616124576,7.723582479029583,2.8496586026590007,7.6808462905769455,6.477024693568214
fam_size,0.029940925485253476,0.033755992279431324,-0.01570169262308793,0.004705543749427346,0.10887308001791404,0.17443314665440735,0.009555711016572543,-0.05660733026744859
joint_filer,-0.1851610250794942,0.5508796382734437,0.682343465468016,0.06123800056850015,0.459962915077731,0.18257057490684625,0.33030160550620724,0.17193231481715454
lndivs,0.32754327278819684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lne01500,-0.005252024771861003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lninterest,0.011668972307962591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lntot_inc,0.02797304904544145,0.04701598148503988,0.08683155267231295,0.14759287537112725,0.051571174964358646,0.2953783931317644,0.11986160013919098,-0.008807461042842683
