"","charitable","misc"
"constant",-12.538849558553,-18.8007508366197
"lnincome",1.37762807723817,1.63100469069924
"mars_reg",-4.78259331933644,-3.62638838962366
"famsize",0.161309177962449,-0.176242635810952
"agede",-5.97072449004187,-6.19415680796928
