,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
APOPN,1.0000,1.0077,1.0153,1.0229,1.0309,1.0394,1.0478,1.0563,1.0647,1.0731,1.0814,1.0897,1.0980,1.1062,1.1142,1.1222,1.1301,1.1379,1.1455,1.1530
APOPDEP,1.0000,0.9959,0.9934,0.9915,0.9912,0.9920,0.9933,0.9948,0.9965,0.9974,0.9992,1.0022,1.0051,1.0075,1.0101,1.0124,1.0143,1.0163,1.0198,1.0233
APOPSNR,1.0000,1.0435,1.0811,1.1179,1.1563,1.1947,1.2342,1.2756,1.3189,1.3644,1.4092,1.4558,1.5019,1.5468,1.5935,1.6377,1.6790,1.7188,1.7569,1.7915
AGDPN,1.0000,1.0416,1.0826,1.1179,1.1623,1.2002,1.2579,1.3262,1.3816,1.4396,1.4984,1.5555,1.6133,1.6726,1.7327,1.7958,1.8639,1.9339,2.0064,2.0813
ATXPY,1.0000,1.0519,1.0731,1.1130,1.1709,1.2065,1.2785,1.3497,1.4108,1.4660,1.5277,1.5906,1.6562,1.7240,1.7952,1.8696,1.9472,2.0292,2.1140,2.2034
ASCHF,1.0000,0.9576,1.1020,1.0344,0.5298,0.5722,0.5046,0.3603,0.4040,0.3629,0.4053,0.4742,0.5219,0.5642,0.6013,0.6344,0.6702,0.7099,0.7550,0.8026
ABOOK,1.0000,1.1135,1.1598,1.1411,1.1495,1.1414,1.1043,1.1420,1.1464,1.2316,1.2905,1.3400,1.4014,1.4652,1.5158,1.5724,1.6354,1.6922,1.7609,1.8404
ACPIU,1.0000,1.0209,1.0360,1.0525,1.0538,1.0671,1.0898,1.1165,1.1369,1.1645,1.1939,1.2245,1.2548,1.2850,1.3144,1.3442,1.3744,1.4051,1.4366,1.4687
ACPIM,1.0000,1.0365,1.0620,1.0874,1.1162,1.1584,1.1874,1.2108,1.2451,1.2780,1.1744,1.1916,1.2086,1.2256,1.2421,1.2588,1.2758,1.2930,1.3108,1.3288
ARETS,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
AWAGE,,,,,,,,,,,,,,,,,,,,
ASCHCI,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
ASCHCL,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
ASCHEI,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
ASCHEL,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
AINTS,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
ADIVS,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
ACGNS,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
ASOCSEC,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
AUCOMP,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
AIPD,1.0000,0.9905,1.0189,1.0340,1.0470,1.0635,1.0818,1.0987,1.1136,1.1267,1.1400,1.1528,1.1657,1.1788,1.1920,1.2053,1.2188,1.2324,1.2462,1.2602
ABENEFITS,1.0000,1.0000,1.0000,1.0000,1.0621,1.1748,1.1984,1.3326,1.4158,1.4223,1.4764,1.5326,1.5909,1.6514,1.7143,1.7795,1.8472,1.9175,1.9904,2.0662
