,fh_seq,ffpos,Housing_participation,housing_impute,probs
2282,3026,1,0,0.0,0.00690996524615
2283,3027,1,0,0.0,0.0208480814767
2284,3028,1,0,0.0,0.0158345301189
2285,3029,1,0,0.0,0.000904450823534
2286,3030,1,0,0.0,0.000123198435736
2287,3030,2,0,0.0,0.014668223227
2288,3032,1,0,0.0,0.00201566733292
2289,3033,1,0,0.0,0.0504167494014
2290,3034,1,0,0.0,0.00636308399749
2291,3035,1,0,0.0,0.102462493564
2292,3036,1,0,0.0,0.00274056152609
2293,3037,1,0,0.0,0.00447265830178
2294,3038,1,0,0.0,0.00872038037047
2295,3039,1,0,0.0,0.0048399589692
2296,3040,1,0,0.0,0.00283185181681
2297,3041,1,0,0.0,0.00260559603331
2298,3042,1,0,0.0,0.00228686846815
2299,3043,1,0,0.0,0.0299673550013
2300,3044,1,0,0.0,0.000323451133942
2301,3045,1,0,0.0,0.30671831695
2302,3046,1,0,0.0,0.0647815955072
2303,3047,1,0,0.0,0.00262867562673
2304,3049,1,0,0.0,0.0340598515089
2305,3051,1,0,0.0,0.00487136020579
2306,3052,1,0,0.0,0.0145210387209
2307,3053,1,0,0.0,0.00641030903571
2308,3054,1,0,0.0,0.000483508847077
2309,3055,1,0,0.0,0.00644324920435
2310,3056,1,0,0.0,0.0288020411535
2311,3057,1,0,0.0,0.006669640243
2312,3058,1,0,0.0,0.000459838764157
2313,3059,1,0,0.0,0.013984650701
2314,3060,1,0,0.0,0.000907344214988
2315,3062,1,0,0.0,0.0030647527386
2316,3063,1,0,0.0,0.0166873438973
2317,3065,1,0,0.0,0.291923196719
2318,3066,1,0,0.0,0.059281237452
2319,3067,1,0,0.0,0.000374051397428
2320,3068,1,0,0.0,0.0171811159073
2321,3069,1,0,0.0,0.00445094276673
2322,3072,1,0,0.0,0.0372486252492
2323,3074,1,0,0.0,0.00049217140508
2324,3075,1,0,0.0,0.0130807117552
2325,3076,1,0,0.0,0.00375846797896
2326,3076,2,0,0.0,0.0836713619979
2327,3077,1,0,0.0,0.00726718485747
2328,3078,1,0,0.0,0.0139064595546
2329,3079,1,0,0.0,0.00770862043235
2330,3081,1,0,0.0,0.00214070341327
2331,3082,1,0,0.0,0.00834290447599
2332,3083,1,0,0.0,0.00149190114965
2333,3084,1,0,0.0,0.0382412093912
2334,3084,2,0,0.0,0.0158488288162
2335,3085,1,0,0.0,0.00375846797896
2336,3086,1,2,1444.03072434,0.397559719554
2337,3086,2,0,0.0,0.119874927837
2338,3087,1,0,0.0,0.00477726116675
2339,3088,1,0,0.0,0.00279035057895
2340,3088,2,0,0.0,0.0784183416825
2341,3089,1,0,0.0,0.012157049897
2342,3090,1,0,0.0,0.00957227268159
2343,3091,1,0,0.0,0.00682507505486
2344,3093,1,0,0.0,0.00334521714556
2345,3095,1,0,0.0,0.0694575493235
2346,3096,1,0,0.0,0.00988999966442
2347,3098,1,0,0.0,0.00197777573943
2348,3100,1,0,0.0,0.0564139649754
2349,3108,1,0,0.0,0.198318216118
2350,3109,1,0,0.0,0.0106183403404
2351,3110,1,0,0.0,0.0322349543456
2352,3111,1,0,0.0,0.228388427021
2353,3120,1,0,0.0,0.00512955173947
2354,3121,1,0,0.0,0.00342105691686
2355,3124,1,0,0.0,0.0253179016997
2356,3127,1,0,0.0,0.057970315457
2357,3129,1,0,0.0,0.235563504736
2358,3131,1,1,353.373077558,0.241196066912
2359,3134,1,1,353.373077558,0.0632860314638
2360,3135,1,0,0.0,0.00557049998723
2361,3136,1,0,0.0,0.00870433717359
2362,3137,1,0,0.0,0.255647962207
2363,3137,2,0,0.0,0.0442410052754
2364,3138,1,0,0.0,0.0107758839983
2365,3139,1,0,0.0,0.17813636402
2366,3146,1,0,0.0,0.000108074730892
2367,3147,1,0,0.0,1.03938697099e-06
2368,3148,1,0,0.0,0.00505504395996
2369,3148,2,0,0.0,0.00873511606735
2370,3154,1,0,0.0,0.00545473822849
2371,3154,2,0,0.0,0.0128422838404
2372,3156,1,0,0.0,0.132369393416
2373,3157,1,0,0.0,0.0123187560105
2374,3157,2,0,0.0,0.119874927837
2375,3158,1,0,0.0,0.00923239535907
2376,3159,1,0,0.0,0.0124677520572
2377,3159,2,0,0.0,0.0115193354014
2378,3162,1,0,0.0,0.000307109285727
2379,3170,1,0,0.0,0.00204363236025
2380,3174,1,0,0.0,4.72436484157e-07
2381,3178,1,0,0.0,0.00347531307482
2382,3181,1,0,0.0,0.142679065456
2383,3182,1,0,0.0,0.00649826200426
2384,3183,1,0,0.0,0.00472860166162
2385,3184,1,0,0.0,0.00765443350933
2386,3185,1,1,1114.65211501,0.283450763459
2387,3186,1,0,0.0,0.00923065825959
2388,3187,1,0,0.0,0.000813646584161
2389,3190,1,0,0.0,0.0400148024358
2390,3190,2,0,0.0,0.0400148024358
2391,3195,1,0,0.0,0.0647944460198
2392,3196,1,0,0.0,0.00304471215756
2393,3197,1,0,0.0,0.00473043464461
2394,3198,1,0,0.0,0.0129250283105
2395,3199,1,0,0.0,0.0321257052476
2396,3200,1,0,0.0,0.0854150479054
2397,3203,1,0,0.0,0.0194325507347
2398,3205,1,0,0.0,0.00604375893939
2399,3205,2,0,0.0,0.079739943663
2400,3206,1,0,0.0,0.0612632830674
2401,3206,2,0,0.0,0.00767268099599
2402,3207,1,0,0.0,0.00859414731189
2403,3210,1,0,0.0,0.00403157835599
2404,3211,1,0,0.0,0.00239136515407
2405,3212,1,0,0.0,0.00250475586804
2406,3212,2,0,0.0,0.0734686724073
2407,3213,1,0,0.0,0.00264953467008
2408,3214,1,0,0.0,0.0048399589692
2409,3214,2,0,0.0,0.0836713619979
2410,3215,1,0,0.0,0.000586428218395
2411,3217,1,0,0.0,0.0052926684119
2412,3220,1,0,0.0,0.00994835274593
2413,3220,2,0,0.0,0.00994835274593
2414,3221,1,0,0.0,0.0400148024358
2415,3221,2,0,0.0,0.066620913209
