,fh_seq,ffpos,Housing_participation,housing_impute,probs
0,1,1,0,0.0,3.17009883225e-26
1,1,2,0,0.0,2.11546845729e-25
2,2,1,0,0.0,2.36486502264e-25
3,2,2,0,0.0,2.19293285933e-25
4,5,1,0,0.0,7.79811359554e-25
5,8,1,0,0.0,7.42695128573e-25
6,19,1,0,0.0,7.54352377276e-26
7,20,1,0,0.0,5.45345173591e-26
8,27,1,0,0.0,0.0318670599819
9,27,2,0,0.0,0.0549678008387
10,28,1,0,0.0,2.02937581397e-24
11,29,1,0,0.0,2.65315319882e-25
12,31,1,1,427.489044183,0.621826352423
13,34,1,0,0.0,1.49631395546e-24
14,36,1,0,0.0,5.14225875299e-27
15,37,1,0,0.0,2.08102766508e-25
16,39,1,0,0.0,0.147752739891
17,40,1,0,0.0,0.153231859275
18,52,1,0,0.0,1.10705919664e-24
19,53,1,0,0.0,6.12458916885e-25
20,58,1,0,0.0,0.0519690677754
21,62,1,0,0.0,0.0165079740206
22,63,1,0,0.0,2.40883670091e-25
23,69,1,0,0.0,7.3481233664e-25
24,71,1,1,178.299450589,0.395401475346
25,72,1,0,0.0,1.35299287675e-25
26,73,1,0,0.0,3.67943167327e-26
27,74,1,0,0.0,5.22935589089e-25
28,75,1,0,0.0,4.1696358991e-25
29,76,1,0,0.0,0.0273499757914
30,77,1,0,0.0,0.163362976693
31,77,2,0,0.0,0.0392450984008
32,84,1,0,0.0,0.0263519086004
33,84,2,0,0.0,0.0591262580694
34,85,1,0,0.0,1.48386974594e-23
35,85,2,0,0.0,1.02472958156e-24
36,88,1,0,0.0,2.44546286018e-24
37,88,2,0,0.0,8.28037287668e-25
38,89,1,0,0.0,0.00534203399695
39,90,1,0,0.0,1.1407078531e-25
40,90,2,0,0.0,2.14697329357e-25
41,91,1,0,0.0,2.4172080199e-24
42,91,2,0,0.0,3.99131708676e-25
43,92,1,0,0.0,9.1345825737e-26
44,93,1,0,0.0,0.399115868912
45,94,1,0,0.0,3.63958668085e-24
46,95,1,0,0.0,6.47927083556e-25
47,96,1,0,0.0,3.29139508866e-26
48,98,1,0,0.0,1.01757761895e-25
49,122,1,0,0.0,1.12239496977e-24
50,131,1,0,0.0,5.32069413553e-26
51,140,1,0,0.0,1.64650835655e-25
52,141,1,0,0.0,9.89921459124e-26
53,150,1,0,0.0,2.53988801494e-25
54,150,2,0,0.0,8.43036521387e-25
55,151,1,0,0.0,4.07569094734e-25
56,171,1,0,0.0,9.83164251567e-26
57,173,1,0,0.0,5.52551696767e-25
58,174,1,0,0.0,6.1510760014e-25
59,179,1,0,0.0,2.19293285933e-25
60,180,1,0,0.0,2.47854813754e-25
61,181,1,0,0.0,2.09677323751e-25
62,182,1,0,0.0,3.90897362539e-25
63,186,1,0,0.0,2.82155556462e-24
64,186,2,0,0.0,2.06649586163e-25
65,187,1,0,0.0,3.83476549496e-26
66,188,1,0,0.0,1.74818976864e-25
67,189,1,0,0.0,6.52856808488e-25
68,189,2,0,0.0,1.32668076287e-25
69,190,1,0,0.0,1.31726046606e-25
70,197,1,0,0.0,6.16076333715e-26
71,197,2,0,0.0,2.23677482922e-25
72,205,1,0,0.0,6.99691550633e-25
73,207,1,0,0.0,1.84524594383e-25
74,208,1,0,0.0,6.07890903395e-26
75,210,1,0,0.0,5.85372367496e-26
76,211,1,0,0.0,0.089648944518
77,212,1,0,0.0,0.0192941452365
78,213,1,0,0.0,2.55561454682e-24
79,214,1,0,0.0,5.41999601711e-24
80,220,1,0,0.0,9.23601965181e-25
81,247,1,0,0.0,2.20869945453e-25
82,251,1,0,0.0,3.71046054092e-25
83,265,1,0,0.0,5.14290541763e-25
84,266,1,0,0.0,3.63080355857e-24
85,269,1,0,0.0,1.63962858156e-24
86,270,1,0,0.0,1.39943532505e-24
87,277,1,0,0.0,1.07845170948e-26
88,277,2,0,0.0,4.34169234905e-25
89,287,1,0,0.0,1.15306225224e-25
90,289,1,0,0.0,4.71755875689e-25
91,291,1,0,0.0,1.11360142629e-23
92,296,1,0,0.0,0.107491246972
93,297,1,0,0.0,2.37833351192e-25
94,300,1,0,0.0,2.18123954692e-25
95,306,1,0,0.0,0.295556836802
96,306,2,0,0.0,0.54878728762
97,308,1,0,0.0,2.43242071148e-25
98,310,1,0,0.0,5.9566575548e-25
99,317,1,0,0.0,1.83507132687e-25
100,320,1,0,0.0,0.0512052152253
101,321,1,0,0.0,1.20820095971e-25
102,321,2,0,0.0,2.3271058098e-25
103,325,1,0,0.0,4.59952777053e-25
104,326,1,0,0.0,1.33160931363e-25
105,327,1,0,0.0,2.10422028601e-26
106,328,1,0,0.0,1.23222658859e-26
107,329,1,0,0.0,0.04154651953
108,329,2,0,0.0,0.149896390549
109,330,1,0,0.0,0.0208124287554
110,330,2,0,0.0,0.0591251568671
111,332,1,0,0.0,2.83646122473e-25
112,333,1,0,0.0,3.60193969852e-24
113,333,2,0,0.0,2.4694880315e-25
114,334,1,0,0.0,0.154018148482
115,336,1,0,0.0,4.08274285906e-24
116,336,2,0,0.0,1.13477623805e-24
117,338,1,0,0.0,5.40164442254e-25
118,342,1,0,0.0,1.50816785766e-25
119,343,1,0,0.0,1.28197030724e-24
120,345,1,0,0.0,1.0001402586e-24
121,346,1,0,0.0,2.25363729028e-24
122,347,1,0,0.0,1.7382135813e-25
123,348,1,0,0.0,1.42504186023e-24
124,348,2,0,0.0,4.3637682761e-25
125,353,1,0,0.0,2.15032931329e-25
126,356,1,0,0.0,2.04768801087e-24
127,357,1,0,0.0,3.70983544363e-24
128,357,2,0,0.0,7.48625814657e-25
129,358,1,0,0.0,8.53811000892e-24
130,358,2,0,0.0,5.73919331005e-24
131,359,1,0,0.0,0.0648786322844
132,363,1,0,0.0,1.27807449936e-24
133,366,1,0,0.0,1.62956376406e-25
134,368,1,0,0.0,8.10312476217e-25
135,376,1,0,0.0,5.89337429807e-25
136,378,1,0,0.0,0.0527657278837
137,382,1,0,0.0,0.443701894076
138,382,2,0,0.0,0.29339652469
139,384,1,0,0.0,1.28608920516e-25
140,387,1,0,0.0,8.85456739519e-26
141,388,1,0,0.0,1.95178267843e-26
142,391,1,0,0.0,4.3716949001e-29
143,393,1,0,0.0,1.07683172272e-25
144,393,2,0,0.0,3.65838772847e-25
145,394,1,0,0.0,8.81122535627e-25
146,397,1,0,0.0,1.12338644765e-25
147,399,1,0,0.0,7.28557572619e-25
148,404,1,0,0.0,7.58653874325e-25
149,430,1,0,0.0,2.24090117106e-25
150,431,1,0,0.0,3.27354138953e-25
151,431,2,0,0.0,5.62714683346e-25
152,443,1,0,0.0,8.94617077966e-25
153,443,2,0,0.0,2.51885900037e-25
154,444,1,0,0.0,1.33102911311e-24
155,444,2,0,0.0,6.52960203951e-25
156,445,1,0,0.0,0.133872001009
157,445,2,0,0.0,0.0200215062529
158,447,1,0,0.0,3.68805302338e-25
159,448,1,0,0.0,9.99530198924e-26
160,448,2,0,0.0,2.19293285933e-25
161,448,3,0,0.0,8.4300314595e-25
162,448,4,0,0.0,8.94617077966e-25
163,450,1,0,0.0,1.73188711416e-25
164,456,1,0,0.0,1.14036061498e-25
165,458,1,0,0.0,2.36664458198e-25
166,459,1,0,0.0,8.69702768905e-26
167,465,1,0,0.0,8.32867884485e-26
168,467,1,0,0.0,0.573374068814
169,468,1,0,0.0,2.01251473869e-25
170,470,1,0,0.0,0.0615796503516
171,470,2,0,0.0,0.0593911031598
172,471,1,0,0.0,7.19121771211e-25
173,473,1,0,0.0,7.86496822172e-25
174,479,1,0,0.0,6.74955188448e-25
175,485,1,1,210.522242864,0.545991255908
176,486,1,0,0.0,7.8793479489e-26
177,487,1,0,0.0,3.71486898251e-26
178,488,1,0,0.0,2.3672627717e-25
179,489,1,0,0.0,6.09012324126e-26
180,490,1,0,0.0,3.33317232231e-25
181,492,1,0,0.0,0.0217137460221
182,492,2,0,0.0,0.0591262580694
183,493,1,0,0.0,2.0454628352e-25
184,493,2,0,0.0,1.56402311185e-25
185,498,1,0,0.0,1.76685269053e-24
186,516,1,0,0.0,0.242672476548
187,519,1,0,0.0,1.74791123929e-24
188,520,1,0,0.0,2.52530096607e-24
189,523,1,0,0.0,2.46177189897e-25
190,536,1,0,0.0,7.1322999071e-26
191,539,1,0,0.0,0.0570694860578
192,547,1,0,0.0,1.10327885678e-24
193,548,1,0,0.0,1.02947714931e-25
194,549,1,0,0.0,3.00885686419e-26
195,551,1,0,0.0,1.23396426696e-25
196,555,1,0,0.0,2.56955743925e-24
197,556,1,0,0.0,4.59643847791e-25
198,556,2,0,0.0,9.82696046298e-25
199,557,1,0,0.0,1.31164540798e-25
200,558,1,0,0.0,1.14087878712e-24
201,559,1,0,0.0,1.98877142788e-25
202,559,2,0,0.0,1.19215451819e-26
203,560,1,0,0.0,7.12806561249e-26
204,561,1,0,0.0,2.24685702284e-25
205,575,1,0,0.0,2.07657075055e-24
206,576,1,0,0.0,1.3599150998e-25
207,577,1,0,0.0,6.14957823109e-26
208,583,1,0,0.0,7.32240003863e-25
209,583,2,0,0.0,4.54909108736e-25
210,584,1,0,0.0,7.48928437997e-26
211,586,1,0,0.0,3.44525026817e-25
212,586,2,0,0.0,2.0662913386e-25
213,587,1,0,0.0,4.55657138217e-25
214,587,2,0,0.0,2.96793528648e-25
215,588,1,0,0.0,8.4502813184e-25
216,596,1,0,0.0,7.79954138836e-25
217,611,1,0,0.0,0.588965741773
218,614,1,0,0.0,4.65809250193e-25
219,616,1,0,0.0,0.0306132733627
220,619,1,0,0.0,3.34492601426e-26
221,620,1,0,0.0,2.57960202322e-26
222,627,1,0,0.0,2.85634560524e-24
223,630,1,0,0.0,4.31758776908e-24
224,631,1,0,0.0,1.20676681917e-25
225,632,1,0,0.0,2.48413077259e-26
226,634,1,0,0.0,7.74044105737e-25
227,637,1,0,0.0,5.97128405293e-25
228,639,1,0,0.0,2.42074930254e-25
229,648,1,0,0.0,5.79835510137e-25
230,648,2,0,0.0,8.94617077966e-25
231,649,1,0,0.0,6.55260411547e-25
232,652,1,0,0.0,1.83726924831e-24
233,654,1,0,0.0,1.7888954597e-25
234,655,1,0,0.0,4.58900214755e-24
235,655,2,0,0.0,4.58900214755e-24
236,657,1,0,0.0,1.20558498149e-24
237,662,1,0,0.0,0.00395017923494
238,663,1,0,0.0,2.50557274754e-24
239,664,1,0,0.0,1.49323164682e-23
240,665,1,0,0.0,0.386814058229
241,666,1,0,0.0,6.53070776159e-25
242,670,1,0,0.0,1.48370901899e-25
243,675,1,0,0.0,2.8973064197e-25
244,676,1,0,0.0,0.0169314198413
245,678,1,0,0.0,8.10169693732e-24
246,679,1,0,0.0,0.0841147862118
247,679,2,0,0.0,0.501465345095
248,685,1,0,0.0,9.54835177722e-26
249,686,1,0,0.0,1.50410992179e-25
250,686,2,0,0.0,4.03404704399e-25
251,687,1,0,0.0,1.20547972766e-24
252,690,1,0,0.0,2.43307564744e-25
253,693,1,0,0.0,8.85774175967e-26
254,694,1,0,0.0,2.98828001745e-25
255,695,1,0,0.0,0.39783988371
256,696,1,0,0.0,4.58542448441e-26
257,698,1,0,0.0,1.70271853804e-25
258,699,1,0,0.0,7.86295440529e-26
259,701,1,0,0.0,3.54300019018e-25
260,702,1,0,0.0,0.659757158411
261,703,1,0,0.0,0.156222798332
262,704,1,0,0.0,0.127233133314
263,704,2,0,0.0,0.135127386814
264,704,3,0,0.0,0.250974535938
265,706,1,0,0.0,5.46382771338e-24
266,709,1,0,0.0,6.89295862809e-26
267,716,1,1,427.489044183,0.526185329064
268,718,1,0,0.0,1.17813310665e-25
269,718,2,0,0.0,3.95769463449e-25
270,720,1,0,0.0,2.04768801087e-24
271,721,1,1,546.713375601,0.27643108221
272,722,1,0,0.0,0.0483957775903
273,722,2,0,0.0,0.04154651953
274,724,1,0,0.0,2.04460837539e-25
275,725,1,0,0.0,7.93914370873e-28
276,726,1,0,0.0,6.98239103282e-26
277,727,1,0,0.0,0.158567964607
278,728,1,0,0.0,1.47852078366e-24
279,730,1,1,178.299450589,0.615813959289
280,731,1,1,178.299450589,0.705336230577
281,732,1,0,0.0,3.51805151412e-25
282,733,1,0,0.0,1.09811499664e-24
283,735,1,0,0.0,3.95254680973e-25
284,738,1,0,0.0,0.173962818183
285,741,1,0,0.0,2.3903547457e-24
286,742,1,0,0.0,0.0374204095457
287,753,1,1,546.713375601,0.293393729761
288,754,1,0,0.0,2.2814933049e-25
289,756,1,0,0.0,1.02664215586e-25
290,761,1,0,0.0,3.44382569161e-25
291,765,1,0,0.0,0.236125052892
292,766,1,0,0.0,2.51432641555e-25
293,771,1,0,0.0,3.53065546332e-26
294,775,1,0,0.0,1.76709347209e-25
295,781,1,0,0.0,3.12289324868e-25
296,786,1,1,427.489044183,0.621826352423
297,787,1,0,0.0,2.22022821264e-25
298,790,1,0,0.0,9.43018791572e-25
299,790,2,0,0.0,1.66520891493e-25
300,791,1,0,0.0,2.46274671563e-25
301,792,1,0,0.0,1.08293517178e-24
302,793,1,0,0.0,3.81918419154e-24
303,795,1,0,0.0,2.29303881321e-26
304,796,1,0,0.0,1.47153297006e-25
305,798,1,0,0.0,0.139098955702
306,800,1,0,0.0,0.0895706340132
307,803,1,0,0.0,0.00583772273343
308,804,1,0,0.0,0.0346711342782
309,805,1,0,0.0,4.11422017304e-25
