,charitable,misc
constant,-2.5256199856154824,-2.5256199856154824
lntot_inc,0.20294865632410844,0.20294865632410844
joint_filer,0.4234674515185086,0.4234674515185086
fam_size,0.027821745418196386,0.027821745418196386
agede,0.07834821758724775,0.07834821758724775
logSigma,-0.3131617429841258,-0.3131617429841258
