,A00200,A00300,A00600,A00650,A00900,A02300,A03240,A01400,A03270,A03210,A07180
2,1.0575390638212436,0.5892197285241756,1.5602523422491736,1.7789093611850675,0.85357789488816,1.6107176524108995,4.877239765192391,0.9728752517569383,0.21065631760988734,1.4334114160949025,0.24924694056567112
1,0.8989402110292531,0.5962941964240129,1.5332815108881974,1.3691413432448516,0.8613248366331935,0.8674540511435358,2.0106367460722505,0.8610275829230056,0.13304808679581295,0.9966013511854077,0.2830288560641233
5,0.9174335705088943,0.7876174315108224,5.433575794395797,8.763233663371363,0.8085129054542253,0.8758400320000003,10.786012216846277,0.8390009356404794,0.15469287132979834,0.9538272273029337,0.27108259241820903
4,0.8949561569409346,0.6639951252349411,1.534520380211762,1.371263533759979,0.8462785035171059,1.0622669729440626,5.320412321522536,1.365967205471664,0.1719154163261799,1.318267854114348,0.19433380936810998
6,1.040081367184606,0.9296563015750083,1.9509059248882499,1.875666195559946,0.8955837650926854,1.1790895565921,2.52736180809356,0.9411997107807758,0.23847348737874763,1.0256292858373144,0.2326713831847803
8,0.9350892378100849,0.8168238253468584,1.419728253398657,1.353523622019834,0.9027836289283834,1.0205582150258636,8.175935589885304,1.0743268327484345,0.24951746775102396,1.7369291765684751,0.21545510046520844
9,1.1022697813489435,1.2320811617632805,2.372927789304315,2.305701224064267,1.0776482670297256,0.8993796819819745,3.723714764903615,1.1239572876078583,0.2700142326146277,1.7488713741756359,0.22056044708322145
11,0.862054276485294,0.5156244303975839,1.6212717016998641,1.50993816224581,1.3141717293520592,0.44091017939206667,0.6189748281766233,0.8087170928115481,0.17194381055855934,2.0348767715676472,0.19225902519432198
10,1.0255362784145228,0.5436930597097832,1.8592936144628047,1.93706973030298,0.9463044086634682,1.1392107944330798,14.668458226576501,1.1768761596818886,0.14218000684653784,1.951968155307553,0.2892235410694725
12,0.9258857627945358,1.383034856428101,3.5172071656760053,3.5418654072976152,0.9596838389639799,0.8032052306098176,14.765906702159558,1.3325597943586212,0.19492498182954754,1.2396951971445271,0.293446770513457
13,0.9352248628763531,0.56383372638742,1.8977515451817377,2.0566112675414217,0.8525637111163642,0.7524995739939723,8.616006280889668,0.8202745444906914,0.15574791452283906,1.685692838229374,0.306337720343563
15,1.0685846868671065,0.6138967396738267,2.1262042824711176,2.0330990181452435,1.0308485731297918,0.8471873887993445,2.6296129648189353,0.8385031453286843,0.19986210827794937,1.4789769667604749,0.25072416071020437
19,0.9222059167562083,0.6798711552122825,1.2255986110775827,1.2618243842492523,0.8681401324024135,0.8664577698817901,10.181509812065338,0.7866527376948903,0.26282352293289757,2.497784544234682,0.279380778660543
16,0.8726952432185778,0.7533409462108447,1.198705203043476,1.186046616278193,0.7106327056810259,1.0088529140866447,21.297870605392024,1.0097733153005588,0.24554835702193092,1.7718695437580934,0.23258695601897436
17,0.9808219839260206,0.8600359067556009,2.4587998037291117,2.333385645845203,0.8728525125885863,0.8031822577604643,14.339175450341955,0.7098841738769237,0.20677152279041164,1.7233079109727083,0.25067455307492903
18,0.9941275349292257,0.4596446944381764,1.3534498094977445,1.7645006294229317,1.0142568125300255,0.8313610451028126,16.538986881821092,0.6705463179956067,0.17662021935430885,1.81645759403593,0.21235980427246234
20,0.9837536677476978,0.7538780214706148,2.0759755842423453,2.2338214654646382,0.908148220996987,0.7169314138535523,14.976074748469197,0.6703928392590797,0.25044540152119926,1.3354278946986398,0.2464885807662344
21,0.9234014782207057,0.5286368677212027,1.1188551147940602,1.154934130781588,1.052798618184827,0.7821110296316192,4.3157677020318905,0.6034116809312324,0.1521528301898222,1.630033101997077,0.20272521184243347
22,0.9916011526956862,0.7559631261445154,1.9560180748478413,1.8092124391627766,0.8609637920197213,1.0345303499759606,2.5915084353971953,0.6015943009369007,0.1984516876839661,0.9775946503773147,0.2888202626131799
25,1.0929815338577287,0.8567453745829235,2.441459851262367,2.4216916282656418,0.956994638102824,0.904407444049579,5.076720756053181,1.3972176053085716,0.27767507622993337,2.2330124151366353,0.2472995900237115
24,0.9516258555811199,0.533788249221418,1.3719711475057137,1.2869357819764262,0.9541526775394581,0.9435785383789987,2.2171919385504593,0.9121900374875679,0.16877088578988095,1.4488883936601804,0.3240627709198587
23,0.9125329346506982,0.46278775158724467,1.306197951584047,1.4037024159681217,0.6776318168832363,0.9298922615578531,3.362683676386519,0.8335070404844263,0.18521207756981675,1.6917250655320957,0.22784008894349983
26,0.9168710163461613,0.5487173256874751,1.444790300064912,1.4183878458306909,1.053060199126348,0.9225120237013413,15.821827457290032,1.393021919608482,0.13742587896845085,1.5198168915276764,0.18479531558892148
27,0.9641945633382629,0.5401931134947101,1.3437548563789996,1.3585504323853712,1.0629727210968567,0.8549709909723198,9.679727724471112,1.1019515991457989,0.23423853779495193,2.2716272188575433,0.25358012535895874
29,0.8524259596993067,0.6021811744308004,1.7514868632090768,1.8812597520671595,1.076013549436242,0.8216705649628198,10.503992647597682,0.7432413984356642,0.19689835389512506,1.4078854516297323,0.24573446027073736
28,0.9537486468433054,0.603946335033597,1.4699463524626775,1.4069922371388819,0.9011000729981586,0.8993961619117623,10.09508849297719,0.909608716083852,0.19175175248597295,1.304914529402482,0.31512763343977696
30,0.9381186376723086,0.7952124062680809,1.7783593073317114,1.5630449999492513,0.8366356911961664,1.0001260928640525,10.80373997674076,0.4864896729017913,0.32601471768421914,2.2265898571062177,0.20749056249193273
37,0.9872997380529674,0.6022393697749564,1.5064908773126655,1.5885140576283117,0.8873920199174996,0.525603471179677,4.028192473734143,1.0220612542238605,0.19260706518620632,1.500829716354843,0.2831150494256383
38,1.0293979840180305,0.8290105987486658,1.4348788050936951,1.2652330742177385,0.7467589500722226,0.6946431101322504,23.535802140519337,0.8264474412491064,0.32920238470867835,2.220586334203581,0.31348737873743066
31,0.95349478052113,0.6498908776434255,1.5725488076792127,1.6132788636914448,0.6310268024775227,0.791277606507449,24.50608116051785,0.7690315269510747,0.31244064792384313,2.0744552314347224,0.3637902514635005
33,0.9498364266381022,0.6511997096827467,1.9445581281606374,1.9192439763980753,0.989588323667543,1.3971965022608004,2.167200864028079,1.3026320112886483,0.2268451249203544,2.010235308003677,0.2552136503807774
34,1.1160595848383714,0.7767500718328584,2.210738671111658,2.135140222555884,1.412762222408395,0.7930773349950783,3.7359107145645014,0.9826768697812859,0.25870283368375274,1.811186161433146,0.3475260939799871
35,0.8176286410909497,0.7240616133522385,1.0612679455386982,1.0161129182270991,0.5791128935090146,0.7413524722078869,9.382521113987632,1.0037737446629609,0.13911380693994058,1.0707564503639773,0.15136194570443712
32,0.9542225203611828,1.6842586203420664,3.3196948719610937,3.431121828800935,1.2742184920180615,0.8666914601275063,18.35665515289991,0.8642637023590125,0.14356293528005754,1.1778964328240502,0.22126669990590905
36,1.0698479306235196,1.6779786540845536,3.1741197208925795,3.156777102193833,1.2549797742933664,0.7966223633267381,4.028907689656931,0.9637118685707889,0.21055355108605533,1.4348430445720575,0.27413589609438366
39,1.0261096386623139,0.47646806713740786,1.737509176467789,1.7612114888408759,0.9252480969952228,0.8063920672135632,8.91325001663918,0.835193618001662,0.14353625626962185,1.7984699425176098,0.17214352325287943
40,0.9881098387666499,0.734571396943664,1.5301768126176793,1.6445821362313338,0.6145397660233131,1.0338782548705139,3.821887807098216,0.9734174507181441,0.19507067810206793,1.0523434778564973,0.19900343582384025
41,0.9400319116091174,0.6647357439220427,1.5376202688467229,1.4393407189194365,0.7400526588851801,0.9162732300195761,9.282282794005242,1.1674806240938038,0.23117646427980498,1.8572106053369974,0.19090774065149405
42,0.9719031602378334,0.670243247935542,1.6393057915355864,1.5962961106967988,1.1226763697875788,0.805325087214684,5.135687998943501,1.0169914830440112,0.1786488392607763,2.0348543519512488,0.20146426620425642
44,0.9015677610422067,0.5923635956051815,1.301953748105459,1.3060245286099506,0.7694027335774143,0.8553958925316514,10.229924068799354,0.9708825584200252,0.2666064570700642,1.5622991837963953,0.2271700805590173
45,0.9114763868821325,0.558989992081756,2.268917981969051,2.718448038631536,0.7723325272900278,0.9812402464647425,14.89965351878378,0.814945157533187,0.1469767748901778,1.3043165885536254,0.3061532641931903
46,0.8841908893236174,0.8490737093286111,1.2385365404082365,1.0888803637048712,0.7319089071861901,1.05741167281025,13.097496864470806,0.4920071053828003,0.42654665365646555,1.8977134412632266,0.4090155763135623
47,0.9937980964699916,0.5828078726272059,1.3166346169197158,1.2985304419927615,1.0512777023877122,0.6893164963767188,4.560026264647338,0.951863003784733,0.18253549512554818,1.162216016125244,0.22726720615657664
48,1.0383903619624903,1.0583526752521912,2.5015578398685006,2.563631616645813,0.8959395330144482,0.8224772015193894,9.65325803275857,0.9839613740547917,0.14521732712448493,1.2975047656482068,0.27064331246974277
49,0.9529254160387344,1.0116782421461497,1.5454459130967875,1.5100961723530928,0.6974847931736254,0.7595654322184289,14.960578772074111,0.3520538769724449,0.17679093877002786,1.3901506645890878,0.1650781229848397
